variable,variable_label,value_labels,r_class,missing_n,missing_percent,unique_n
v453,hemoglobin level (g/dl - 1 decimal),not present = 994 | refused = 995 | other = 996,"haven_labelled, vctrs_vctr, double",10548,58.64561325475369,109
v454,currently pregnant (from household questionnaire),no/don't know = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",10548,58.64561325475369,2
v455,result of measurement - hemoglobin,measured = 0 | not present = 3 | refused = 4 | other = 6 | no measurement found in household = 7,"haven_labelled, vctrs_vctr, double",10548,58.64561325475369,4
v456,hemoglobin level adjusted for altitude and smoking (g/dl - 1 decimal),NA,numeric,10731,59.66307127766041,107
v456a,hemoglobin level adjusted for altitude and smoking (g/dl - 1 decimal) (new who),NA,numeric,10731,59.66307127766041,104
v457,anemia level,severe = 1 | moderate = 2 | mild = 3 | not anemic = 4,"haven_labelled, vctrs_vctr, double",10731,59.66307127766041,4
v457a,anemia level (new who),severe = 1 | moderate = 2 | mild = 3 | not anemic = 4,"haven_labelled, vctrs_vctr, double",10731,59.66307127766041,4
v458,na - agrees to referral - anemia,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",17986,100,0
v459,have mosquito bed net for sleeping (from household questionnaire),no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",0,0,2
v460,children under 5 slept under mosquito bed net last night (household questionnair,no = 0 | all children = 1 | some children = 2 | no net in household = 3,"haven_labelled, vctrs_vctr, double",1417,7.8783498276437225,4
v461,respondent slept under mosquito bed net,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",0,0,2
v462,na - washed hands before preparing last meal,no = 0 | yes = 1 | never prepared meal = 2,"haven_labelled, vctrs_vctr, double",17986,100,0
v463a,smokes cigarettes,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",0,0,2
v463b,smokes pipe full of tobacco,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",0,0,2
v463c,chews tobacco,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",0,0,2
v463d,snuffs by nose,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",0,0,2
v463e,smokes kreteks,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",0,0,1
v463f,"smokes cigars, cheroots or cigarillos",no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",0,0,2
v463g,smokes water pipe,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",0,0,2
v463h,snuff by mouth,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",0,0,2
v463i,chews betel quid with tobacco,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",0,0,1
v463j,na - smokes/uses country specific,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",17986,100,0
v463k,na - smokes/uses country specific,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",17986,100,0
v463l,na - smokes/uses country specific,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",17986,100,0
v463x,smokes/uses other,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",0,0,2
v463z,does not use cigarettes and tobacco,"no = 0 | yes, smokes nothing = 1","haven_labelled, vctrs_vctr, double",0,0,2
v463aa,frequency smokes cigarettes,does not smoke = 0 | every day = 1 | some days = 2,"haven_labelled, vctrs_vctr, double",0,0,3
v463ab,frequency currently uses other type of tobacco,does not smoke = 0 | every day = 1 | some days = 2,"haven_labelled, vctrs_vctr, double",0,0,3
v464,number of cigarettes in last 24 hours,80+ = 80 | don't know = 98,"haven_labelled, vctrs_vctr, double",17978,99.95552096074725,3
v466,"na - when child is seriously ill, can decide whether medical treatment sought",no = 0 | yes = 1 | depends = 2,"haven_labelled, vctrs_vctr, double",17986,100,0
v467a,na - getting medical help for self: know where to go,no problem = 0 | big problem = 1 | not a big problem = 2,"haven_labelled, vctrs_vctr, double",17986,100,0
v467b,getting medical help for self: getting permission to go,no problem = 0 | big problem = 1 | not a big problem = 2,"haven_labelled, vctrs_vctr, double",0,0,2
v467c,getting medical help for self: getting money needed for treatment,no problem = 0 | big problem = 1 | not a big problem = 2,"haven_labelled, vctrs_vctr, double",0,0,2
v467d,getting medical help for self: distance to health facility,no problem = 0 | big problem = 1 | not a big problem = 2,"haven_labelled, vctrs_vctr, double",0,0,2
v467e,na - getting medical help for self: having to take transport,no problem = 0 | big problem = 1 | not a big problem = 2,"haven_labelled, vctrs_vctr, double",17986,100,0
v467f,getting medical help for self: not wanting to go alone,no problem = 0 | big problem = 1 | not a big problem = 2,"haven_labelled, vctrs_vctr, double",0,0,2
v467g,na - getting medical help for self: concern no female health provider,no problem = 0 | big problem = 1 | not a big problem = 2,"haven_labelled, vctrs_vctr, double",17986,100,0
v467h,na - getting medical help for self: concern no provider,no problem = 0 | big problem = 1 | not a big problem = 2,"haven_labelled, vctrs_vctr, double",17986,100,0
v467i,na - getting medical help for self: concern no drugs available,no problem = 0 | big problem = 1 | not a big problem = 2,"haven_labelled, vctrs_vctr, double",17986,100,0
v467j,na - getting medical help for self: cs,no problem = 0 | big problem = 1 | not a big problem = 2,"haven_labelled, vctrs_vctr, double",17986,100,0
v467k,na - getting medical help for self: cs,no problem = 0 | big problem = 1 | not a big problem = 2,"haven_labelled, vctrs_vctr, double",17986,100,0
v467l,na - getting medical help for self: cs,no problem = 0 | big problem = 1 | not a big problem = 2,"haven_labelled, vctrs_vctr, double",17986,100,0
v467m,na - getting medical help for self: cs,no problem = 0 | big problem = 1 | not a big problem = 2,"haven_labelled, vctrs_vctr, double",17986,100,0
v468,record for last birth,see specific questions = 0 | last birth only = 1 | all births in last 5 years = 2,"haven_labelled, vctrs_vctr, double",0,0,1
v471a,"na - woman had tinned, powdered or fresh milk",no = 0 | yes = 1 | don't know = 8,"haven_labelled, vctrs_vctr, double",17986,100,0
v471b,na - woman had tea or coffee,no = 0 | yes = 1 | don't know = 8,"haven_labelled, vctrs_vctr, double",17986,100,0
v471c,woman had any other liquid,no = 0 | yes = 1 | don't know = 8,"haven_labelled, vctrs_vctr, double",0,0,3
v471cs,woman other liquid - sweetened,no = 0 | yes = 1 | don't know = 8,"haven_labelled, vctrs_vctr, double",17069,94.90159012565329,3
v471d,woman had sodas/malt/sports/energy drinks,no = 0 | yes = 1 | don't know = 8,"haven_labelled, vctrs_vctr, double",0,0,3
v471e,"woman had fruit juice, fruit-flavored drinks",no = 0 | yes = 1 | don't know = 8,"haven_labelled, vctrs_vctr, double",0,0,3
v471f,na - woman had cs liquid,no = 0 | yes = 1 | don't know = 8,"haven_labelled, vctrs_vctr, double",17986,100,0
v471g,na - woman had cs liquid,no = 0 | yes = 1 | don't know = 8,"haven_labelled, vctrs_vctr, double",17986,100,0
v471h,na - woman had cs liquid,no = 0 | yes = 1 | don't know = 8,"haven_labelled, vctrs_vctr, double",17986,100,0
v471i,na - woman had cs liquid,no = 0 | yes = 1 | don't know = 8,"haven_labelled, vctrs_vctr, double",17986,100,0
v472a,woman had other vegetables,no = 0 | yes = 1 | don't know = 8,"haven_labelled, vctrs_vctr, double",0,0,3
v472b,"woman had sausages, hot dogs, frankfurters, ham, bacon, salami, canned food",no = 0 | yes = 1 | don't know = 8,"haven_labelled, vctrs_vctr, double",0,0,3
v472c,"woman had nuts, seeds",no = 0 | yes = 1 | don't know = 8,"haven_labelled, vctrs_vctr, double",0,0,3
v472d,woman had any insects,no = 0 | yes = 1 | don't know = 8,"haven_labelled, vctrs_vctr, double",0,0,3
v472e,"woman had porridge, bread, rice, noodles, pasta",no = 0 | yes = 1 | don't know = 8,"haven_labelled, vctrs_vctr, double",0,0,3
v472f,"woman had plantains, white potatoes, yams, manioc cassava, or other tubers",no = 0 | yes = 1 | don't know = 8,"haven_labelled, vctrs_vctr, double",0,0,3
v472g,woman had eggs,no = 0 | yes = 1 | don't know = 8,"haven_labelled, vctrs_vctr, double",0,0,3
v472h,"woman had any other meat (beef, pork, lamb, chicken, etc)",no = 0 | yes = 1 | don't know = 8,"haven_labelled, vctrs_vctr, double",0,0,3
v472i,"woman had pumpkin, carrots, squash, sweet potatoes (yellow or orange inside)",no = 0 | yes = 1 | don't know = 8,"haven_labelled, vctrs_vctr, double",0,0,3
v472j,woman had any dark green leafy vegetables,no = 0 | yes = 1 | don't know = 8,"haven_labelled, vctrs_vctr, double",0,0,3
v472k,"woman had mangoes, papayas, other vitamin a fruits",no = 0 | yes = 1 | don't know = 8,"haven_labelled, vctrs_vctr, double",0,0,3
v472l,woman had any other fruits,no = 0 | yes = 1 | don't know = 8,"haven_labelled, vctrs_vctr, double",0,0,3
v472m,"woman had liver, heart, other organs",no = 0 | yes = 1 | don't know = 8,"haven_labelled, vctrs_vctr, double",0,0,3
v472n,woman had fish or shellfish,no = 0 | yes = 1 | don't know = 8,"haven_labelled, vctrs_vctr, double",0,0,3
v472o,"woman had food made from beans, peas, lentils",no = 0 | yes = 1 | don't know = 8,"haven_labelled, vctrs_vctr, double",0,0,3
v472p,"woman had cheese, yogurt, other milk products",no = 0 | yes = 1 | don't know = 8,"haven_labelled, vctrs_vctr, double",0,0,3
v472q,"na - woman had oil, fats, butter, products made of them",no = 0 | yes = 1 | don't know = 8,"haven_labelled, vctrs_vctr, double",17986,100,0
v472r,"woman had cakes, candies, pastries, sweet biscuits, chin chin, puff, etc",no = 0 | yes = 1 | don't know = 8,"haven_labelled, vctrs_vctr, double",0,0,3
v472s,woman had any other food,no = 0 | yes = 1 | don't know = 8,"haven_labelled, vctrs_vctr, double",0,0,3
v472t,"woman had chips, crisps, french fries, fried dough, instant noodles",no = 0 | yes = 1 | don't know = 8,"haven_labelled, vctrs_vctr, double",0,0,3
v472u,woman had red palm oil,no = 0 | yes = 1 | don't know = 8,"haven_labelled, vctrs_vctr, double",0,0,3
v472v,"woman had sweetened tea, coffee or herbal drinks",no = 0 | yes = 1 | don't know = 8,"haven_labelled, vctrs_vctr, double",0,0,3
v472w,"woman had sweets, chocolates, ice cream, or sesame brittle",no = 0 | yes = 1 | don't know = 8,"haven_labelled, vctrs_vctr, double",0,0,3
v472wa,na - woman had cs foods,no = 0 | yes = 1 | don't know = 8,"haven_labelled, vctrs_vctr, double",17986,100,0
v472wb,na - woman had cs foods,no = 0 | yes = 1 | don't know = 8,"haven_labelled, vctrs_vctr, double",17986,100,0
v472wc,na - woman had cs foods,no = 0 | yes = 1 | don't know = 8,"haven_labelled, vctrs_vctr, double",17986,100,0
v472wd,na - woman had cs foods,no = 0 | yes = 1 | don't know = 8,"haven_labelled, vctrs_vctr, double",17986,100,0
v472we,na - woman had cs foods,no = 0 | yes = 1 | don't know = 8,"haven_labelled, vctrs_vctr, double",17986,100,0
v473a,na - read consent statement - hiv,granted = 1 | parent/other responsible refused = 2 | respondent refused = 3 | adult/parent not present = 4 | minor not present = 5 | sample not tested/lost/not enough dbs = 6,"haven_labelled, vctrs_vctr, double",17986,100,0
v473b,na - result of measurement - hiv,blood taken = 1 | not present = 2 | refused = 3 | sample not tested/lost/damaged/insufficient = 4 | not enough dbs to complete protocol = 5 | other = 6,"haven_labelled, vctrs_vctr, double",17986,100,0
v477,na - number of injections in last 12 months,none = 0 | 90+ = 90 | don't know = 98,"haven_labelled, vctrs_vctr, double",17986,100,0
v478,na - number of injections administered by a health worker,none = 0 | 90+ = 90 | don't know = 98,"haven_labelled, vctrs_vctr, double",17986,100,0
v479,na - place of injection by health worker,public sector = 10 | government hospital = 11 | government health center = 12 | other public sector = 16 | private sector = 20 | private hospital/clinic/doctor = 21 | dental clinic/office = 22 | pharmacy = 23 | office or home of nurse/health worker = 24 | other private sector = 26 | other non-medical = 30 | respondent's home = 31 | other = 96,"haven_labelled, vctrs_vctr, double",17986,100,0
v480,"na - syringe and needle from new, unopened package",no = 0 | yes = 1 | don't know = 8,"haven_labelled, vctrs_vctr, double",17986,100,0
v481,covered by health insurance,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",0,0,2
v481a,health insurance type: mutual/community organization,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",0,0,2
v481b,health insurance type: provided by employer,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",0,0,2
v481c,health insurance type: social security,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",0,0,2
v481d,health insurance type: private/commercially purchased,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",0,0,2
v481e,na - health insurance type: cs,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",17986,100,0
v481f,na - health insurance type: cs,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",17986,100,0
v481g,na - health insurance type: cs,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",17986,100,0
v481h,na - health insurance type: cs,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",17986,100,0
v481x,health insurance type: other,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",0,0,2
v482a,na - arrange care of biological children under age 18,no = 0 | yes = 1 | unsure = 8,"haven_labelled, vctrs_vctr, double",17986,100,0
v482b,na - primary caregiver of children under age 18,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",17986,100,0
v482c,na - arrange care of non-biological children < 18,no = 0 | yes = 1 | unsure = 8,"haven_labelled, vctrs_vctr, double",17986,100,0
v483a,minutes to nearest healthcare facility,600+ = 600,"haven_labelled, vctrs_vctr, double",0,0,99
v483b,mode of transportation to nearest healthcare facility,---motorized--- = 10 | car/truck = 11 | public bus = 12 | motorcycle/scooter = 13 | boat with motor = 14 | ---not motorized--- = 20 | animal-drawn cart = 21 | bicycle = 22 | boat without motor = 23 | walking = 24 | keke napep (tricycle) = 25 | other = 96,"haven_labelled, vctrs_vctr, double",0,0,10
v484a,breasts examined for cancer by health care provider,no = 0 | yes = 1 | don't know = 8,"haven_labelled, vctrs_vctr, double",0,0,3
v484b,ever tested for cervical cancer by health care provider,no = 0 | yes = 1 | don't know = 8,"haven_labelled, vctrs_vctr, double",0,0,3
v485a,number of days respondent drank alcoholic drinks in the past month,did not have even one drink = 0 | every day/almost every day = 95 | never have consumed alcohol = 96,"haven_labelled, vctrs_vctr, double",0,0,33
v485b,number of alcoholic drinks per day,40+ = 40,"haven_labelled, vctrs_vctr, double",16631,92.46636272656511,19
v501,current marital status,never in union = 0 | married = 1 | living with partner = 2 | widowed = 3 | divorced = 4 | no longer living together/separated = 5,"haven_labelled, vctrs_vctr, double",0,0,6
v502,currently/formerly/never in union,never in union = 0 | currently in union/living with a man = 1 | formerly in union/living with a man = 2,"haven_labelled, vctrs_vctr, double",0,0,3
v503,number of unions,once = 1 | more than once = 2,"haven_labelled, vctrs_vctr, double",589,3.274769264983876,2
v504,currently residing with husband/partner,living with her = 1 | staying elsewhere = 2,"haven_labelled, vctrs_vctr, double",1064,5.915712220616035,2
v505,number of other wives,no other wives = 0 | don't know = 98,"haven_labelled, vctrs_vctr, double",1064,5.915712220616035,8
v506,respondent's rank among wives,don't know = 98,"haven_labelled, vctrs_vctr, double",13671,76.00911820304681,8
v507,month of first cohabitation,NA,numeric,589,3.274769264983876,12
v508,year of first cohabitation,NA,numeric,589,3.274769264983876,38
v509,date of first cohabitation (cmc),NA,numeric,589,3.274769264983876,409
v510,completeness of date information in v509,month and year - information complete = 1 | month and age - year imputed = 2 | year and age - month imputed = 3 | year - age/month imputed = 5 | age - year/month imputed = 6 | month - age/year imputed = 7 | none - all imputed = 8,"haven_labelled, vctrs_vctr, double",589,3.274769264983876,4
v511,age at first cohabitation,NA,numeric,589,3.274769264983876,35
v507a,month of current cohabitation,NA,numeric,16902,93.97309018125209,12
v508a,year of current cohabitation,NA,numeric,16902,93.97309018125209,30
v509a,date of current cohabitation (cmc),NA,numeric,16902,93.97309018125209,228
v510a,completeness of date information in v509a,month and year - information complete = 1 | month and age - year imputed = 2 | year and age - month imputed = 3 | year - age/month imputed = 5 | age - year/month imputed = 6 | month - age/year imputed = 7 | none - all imputed = 8,"haven_labelled, vctrs_vctr, double",16902,93.97309018125209,3
v511a,age at current cohabitation,NA,numeric,16902,93.97309018125209,31
v512,years since first cohabitation,NA,numeric,589,3.274769264983876,38
v513,cohabitation duration (grouped),never married = 0 | 0-4 = 1 | 5-9 = 2 | 10-14 = 3 | 15-19 = 4 | 20-24 = 5 | 25-29 = 6 | 30+ = 7,"haven_labelled, vctrs_vctr, double",0,0,8
v525,age at first sex,not had sex = 0 | at first union = 96 | inconsistent = 97 | don't know = 98,"haven_labelled, vctrs_vctr, double",0,0,30
v527,time since last sex,<1 day ago = 100 | days: 1 = 101 | days: number missing = 199 | weeks: 1 = 201 | weeks: number missing = 299 | months: 1 = 301 | months: number missing = 399 | years: 1 = 401 | years: number missing = 499 | within last 4 weeks = 995 | before last birth = 996 | inconsistent = 997 | don't know = 998,"haven_labelled, vctrs_vctr, double",0,0,75
v528,time since last sex (in days),31+ days = 31 | within last 4 weeks = 95 | before last birth = 96 | inconsistent = 97 | don't know = 98,"haven_labelled, vctrs_vctr, double",0,0,29
v529,time since last sex (in months),within last 4 weeks = 995 | before last birth = 996 | inconsistent = 997 | don't know = 998,"haven_labelled, vctrs_vctr, double",0,0,16
v530,flag for v529,"no flag = 0 | n > interval since birth = 1 | n + abstinence > interval = 2 | n, but sex not res. = 3 | 96, but no birth = 4 | 96, but currently pregnant = 5 | 96, but resumed sex = 6 | n, last sex before pregnancy = 7 | n, inconsistent 4 weeks = 8 | n, sex before last birth = 9","haven_labelled, vctrs_vctr, double",0,0,5
v531,age at first sex (imputed),not had sex = 0 | inconsistent = 97 | don't know = 98,"haven_labelled, vctrs_vctr, double",0,0,31
v532,flag for v531,"no flag = 0 | after interview = 1 | after conception >= 1 year = 2 | after conception < 1 year = 3 | at marriage, but never married = 4 | at marriage, but after conception = 5 | after marriage = 6","haven_labelled, vctrs_vctr, double",0,0,4
v535,ever been married or in union,no = 0 | formerly married = 1 | lived with a man = 2,"haven_labelled, vctrs_vctr, double",16922,94.08428777938397,3
v536,recent sexual activity,never had sex = 0 | active in last 4 weeks = 1 | not active in last 4 weeks - postpartum abstinence = 2 | not active in last 4 weeks - not postpartum abstinence = 3,"haven_labelled, vctrs_vctr, double",0,0,3
v537,months of abstinence,60+ = 60 | before last birth = 96 | inconsistent = 97 | don't know = 98,"haven_labelled, vctrs_vctr, double",13575,75.47536973201379,37
v538,na - how previous marriage or union ended,death/widowhood = 1 | divorce = 2 | separation = 3,"haven_labelled, vctrs_vctr, double",17986,100,0
v539,na - person who received most of late husband's property,respondent = 1 | other wife = 2 | spouse's children = 3 | spouse's family = 4 | other = 6 | no property = 7,"haven_labelled, vctrs_vctr, double",17986,100,0
v540,na - respondent received any of late husband's assets or valuables,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",17986,100,0
v541,na - intends to wait until marriage to have sex,no = 0 | yes = 1 | don't know = 8,"haven_labelled, vctrs_vctr, double",17986,100,0
v542,has a marriage certificate for current marriage/union,no = 0 | yes = 1 | don't know = 8,"haven_labelled, vctrs_vctr, double",1064,5.915712220616035,3
v543a,"marriage certificate from church, mosque or other religious institution",no = 0 | yes = 1 | don't know = 8,"haven_labelled, vctrs_vctr, double",1064,5.915712220616035,3
v543b,marriage certificate from civil authority,no = 0 | yes = 1 | don't know = 8,"haven_labelled, vctrs_vctr, double",1064,5.915712220616035,3
v543c,other document from religious institution,no = 0 | yes = 1 | don't know = 8,"haven_labelled, vctrs_vctr, double",1064,5.915712220616035,3
v543d,other document from civil authority,no = 0 | yes = 1 | don't know = 8,"haven_labelled, vctrs_vctr, double",1064,5.915712220616035,3
v543e,na - marriage document: cs,no = 0 | yes = 1 | don't know = 8,"haven_labelled, vctrs_vctr, double",17986,100,0
v543f,na - marriage document: cs,no = 0 | yes = 1 | don't know = 8,"haven_labelled, vctrs_vctr, double",17986,100,0
v543g,na - marriage document: cs,no = 0 | yes = 1 | don't know = 8,"haven_labelled, vctrs_vctr, double",17986,100,0
v543x,other marriage document:,no = 0 | yes = 1 | don't know = 8,"haven_labelled, vctrs_vctr, double",1064,5.915712220616035,3
v544,current marriage ever registered with civil authority,no = 0 | yes = 1 | don't know = 8,"haven_labelled, vctrs_vctr, double",3854,21.427777160013346,3
v602,fertility preference,have another = 1 | undecided = 2 | no more = 3 | sterilized (respondent or partner) = 4 | declared infecund = 5 | never had sex = 6,"haven_labelled, vctrs_vctr, double",0,0,5
v603,preferred waiting time for birth of a/another child,"wanted now = 100 | months: 1 = 101 | months: number missing = 199 | years: 1 = 201 | years: number missing = 299 | after marriage = 993 | soon, now = 994 | other, non-numeric = 996 | inconsistent = 997 | don't know = 998","haven_labelled, vctrs_vctr, double",5208,28.955854553541645,49
v604,preferred waiting time for birth of a/another child (grouped),<12 months = 0 | 1 year = 1 | 2 years = 2 | 3 years = 3 | 4 years = 4 | 5 years = 5 | 6+ years = 6 | non-numeric = 7 | don't know = 8,"haven_labelled, vctrs_vctr, double",5208,28.955854553541645,9
v605,desire for more children,"wants within 2 years = 1 | wants after 2+ years = 2 | wants, unsure timing = 3 | undecided = 4 | wants no more = 5 | sterilized (respondent or partner) = 6 | declared infecund = 7 | never had sex = 8","haven_labelled, vctrs_vctr, double",0,0,7
v613,ideal number of children,non-numeric response = 96 | don't know = 98,"haven_labelled, vctrs_vctr, double",0,0,24
v614,ideal number of children (grouped),6+ = 6 | non-numeric response = 7,"haven_labelled, vctrs_vctr, double",0,0,8
v616,time for future birth,wanted now = 100 | months: 1 = 101 | months: number missing = 199 | years: 1 = 201 | years: number missing = 299 | after marriage = 993 | soon/now = 994 | can't get pregnant = 995 | other = 996 | don't know = 998,"haven_labelled, vctrs_vctr, double",5194,28.87801623484933,50
v621,husband's desire for children,both want same = 1 | husband wants more = 2 | husband wants fewer = 3 | don't know = 8,"haven_labelled, vctrs_vctr, double",1087,6.0435894584676975,4
v623,exposure,"fecund = 0 | pregnant = 1 | postpartum amenorrheic = 2 | infecund, menopausal = 3","haven_labelled, vctrs_vctr, double",0,0,4
v624,unmet need,"never had sex = 0 | unmet need for spacing = 1 | unmet need for limiting = 2 | using for spacing = 3 | using for limiting = 4 | spacing failure = 5 | limiting failure = 6 | no unmet need = 7 | not married and no sex in last 30 days = 8 | infecund, menopausal = 9","haven_labelled, vctrs_vctr, double",44,0.24463471589013674,9
v625,exposure (definition 2),"fecund = 0 | pregnant = 1 | postpartum amenorrheic = 2 | infecund, menopausal = 3","haven_labelled, vctrs_vctr, double",0,0,4
v626,unmet need (definition 2),"never had sex = 0 | unmet need for spacing = 1 | unmet need for limiting = 2 | using for spacing = 3 | using for limiting = 4 | spacing failure = 5 | limiting failure = 6 | no unmet need = 7 | not married and no sex in last 30 days = 8 | infecund, menopausal = 9","haven_labelled, vctrs_vctr, double",0,0,9
v625a,exposure to need for contraception (definition 3),"fecund = 0 | pregnant = 1 | postpartum amenorrheic = 2 | infecund, menopausal = 3","haven_labelled, vctrs_vctr, double",0,0,4
v626a,unmet need for contraception (definition 3),"never had sex = 0 | unmet need for spacing = 1 | unmet need for limiting = 2 | using for spacing = 3 | using for limiting = 4 | no unmet need = 7 | not married and no sex in last 30 days = 8 | infecund, menopausal = 9","haven_labelled, vctrs_vctr, double",0,0,7
v627,ideal number of boys,other = 96 | don't know = 98,"haven_labelled, vctrs_vctr, double",0,0,14
v628,ideal number of girls,other = 96 | don't know = 98,"haven_labelled, vctrs_vctr, double",0,0,14
v629,ideal number of either sex,other = 96 | don't know = 98,"haven_labelled, vctrs_vctr, double",0,0,23
v631,na - problem if became pregnant,big problem = 1 | small problem = 2 | no problem = 3 | says she can't get pregnant/not having sex = 4,"haven_labelled, vctrs_vctr, double",17986,100,0
v632,decision maker for using contraception,respondent = 1 | husband/partner = 2 | joint decision = 3 | someone else = 4 | other = 6,"haven_labelled, vctrs_vctr, double",1064,5.915712220616035,5
v632a,na - decision maker for not using contraception,"mainly respondent = 1 | mainly husband, partner = 2 | joint decision = 3 | other = 6","haven_labelled, vctrs_vctr, double",17986,100,0
v633a,na - reason for not having sex: husband has sti,no = 0 | yes = 1 | don't know = 8,"haven_labelled, vctrs_vctr, double",17986,100,0
v633b,reason for not having sex: husband has other women,no = 0 | yes = 1 | don't know = 8,"haven_labelled, vctrs_vctr, double",0,0,3
v633c,na - reason for not having sex: recent birth,no = 0 | yes = 1 | don't know = 8,"haven_labelled, vctrs_vctr, double",17986,100,0
v633d,"na - reason for not having sex: tired, not in mood",no = 0 | yes = 1 | don't know = 8,"haven_labelled, vctrs_vctr, double",17986,100,0
v633e,na - reason for not having sex: cs,no = 0 | yes = 1 | don't know = 8,"haven_labelled, vctrs_vctr, double",17986,100,0
v633f,na - reason for not having sex: cs,no = 0 | yes = 1 | don't know = 8,"haven_labelled, vctrs_vctr, double",17986,100,0
v633g,na - reason for not having sex: cs,no = 0 | yes = 1 | don't know = 8,"haven_labelled, vctrs_vctr, double",17986,100,0
v634,na - husband knows that respondent is using contraception,no = 0 | yes = 1 | don't know = 8,"haven_labelled, vctrs_vctr, double",17986,100,0
v635,respondent opinion compared to husband's on use of contraception,more important = 1 | equally important = 2 | less important = 3,"haven_labelled, vctrs_vctr, double",12888,71.6557322361837,3
v636,husband or family member pressured respondent to become pregnant,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",1064,5.915712220616035,2
v701,husband/partner's education level,no education = 0 | primary = 1 | secondary = 2 | higher = 3 | don't know = 8,"haven_labelled, vctrs_vctr, double",1064,5.915712220616035,5
v702,husband/partner's highest year of education (at level in v701),no years completed at level v701 = 0 | don't know = 98,"haven_labelled, vctrs_vctr, double",7394,41.109752029356166,9
v704,husband/partner's occupation,"not working and didn't work in last 12 months = 0 | professional, technical and related workers = 1 | administrative and managerial workers = 2 | office/administrative support workers = 3 | sales and related workers = 4 | service workers = 5 | installations, maintenance and repair workers = 6 | agricultural, animal husbandry, forestry, fishermen/hunters = 7 | production, construction and extractions workers = 8 | transportation and material moving workers = 9 | other = 96 | don't know = 99998","haven_labelled, vctrs_vctr, double",1064,5.915712220616035,12
v704a,husband/partner worked in last 7 days/12 months,didn't work last 12 months = 0 | worked last 7 days = 1 | worked last 12 months = 2 | don't know = 8,"haven_labelled, vctrs_vctr, double",1064,5.915712220616035,4
v705,husband/partner's occupation (grouped),did not work = 0 | professional/technical/managerial = 1 | clerical = 2 | sales = 3 | agricultural - self employed = 4 | agricultural - employee = 5 | household and domestic = 6 | services = 7 | skilled manual = 8 | unskilled manual = 9 | other = 96 | don't know = 98,"haven_labelled, vctrs_vctr, double",1064,5.915712220616035,10
v714,respondent currently working,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",0,0,2
v714a,"respondent has a job, but currently absent",no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",10294,57.233403758478815,2
v715,husband/partner's total number of years of education,inconsistent = 97 | don't know = 98,"haven_labelled, vctrs_vctr, double",1064,5.915712220616035,22
v716,respondent's occupation,"not working and didn't work in last 12 months = 0 | professional, technical and related workers = 1 | administrative and managerial workers = 2 | office/administrative support workers = 3 | sales and related workers = 4 | service workers = 5 | installations, maintenance and repair workers = 6 | agricultural, animal husbandry, forestry, fishermen/hunters = 7 | production, construction and extractions workers = 8 | transportation and material moving workers = 9 | other = 96 | don't know = 99998","haven_labelled, vctrs_vctr, double",0,0,11
v717,respondent's occupation (grouped),not working = 0 | professional/technical/managerial = 1 | clerical = 2 | sales = 3 | agricultural - self employed = 4 | agricultural - employee = 5 | household and domestic = 6 | services = 7 | skilled manual = 8 | unskilled manual = 9 | other = 96 | don't know = 98,"haven_labelled, vctrs_vctr, double",0,0,9
v719,"respondent works for family, others, self",for family member = 1 | for someone else = 2 | self-employed = 3,"haven_labelled, vctrs_vctr, double",6516,36.22817747136662,3
v721,na - respondent works at home or away,at home = 1 | away = 2,"haven_labelled, vctrs_vctr, double",17986,100,0
